from,to,from_knowledge_point_id,to_knowledge_point_id,from_knowledge_point_name,to_knowledge_point_name,score,reason,relation_kind
70,88,4714,5580,内存管理,内存单元,0.5,fallback child_to_parent,containment
70,102,4714,6135,内存管理,物理内存管理,0.5,fallback child_to_parent,containment
70,107,4714,7008,内存管理,内存分配,0.5,fallback child_to_parent,containment
71,116,4761,7451,虚拟文件系统,文件系统,0.5,fallback child_to_parent,containment
72,37,4788,2365,移臂调度算法,匹配算法,0.5,fallback child_to_parent,containment
74,36,4860,2289,数据段,段描述符,0.5,fallback child_to_parent,containment
74,82,4860,5270,数据段,DS段寄存器,0.5,fallback child_to_parent,containment
74,165,4860,10306,数据段,代码段,0.5,fallback child_to_parent,containment
77,129,5108,8047,管道,进程通信机制,0.5,fallback child_to_parent,containment
78,44,5131,2765,进程,程序,0.5,fallback child_to_parent,containment
78,84,5131,5437,进程,内核线程,0.5,fallback child_to_parent,containment
78,86,5131,5529,进程,进程释放,0.5,fallback child_to_parent,containment
78,96,5131,5932,进程,用户进程,0.5,fallback child_to_parent,containment
78,145,5131,9250,进程,并发进程,0.5,fallback child_to_parent,containment
78,147,5131,9323,进程,系统进程,0.5,fallback child_to_parent,containment
78,150,5131,9451,进程,用户线程,0.5,fallback child_to_parent,containment
78,163,5131,10241,进程,生命周期,0.5,fallback child_to_parent,containment
79,115,5140,7416,软时限,实时调度,0.5,fallback child_to_parent,containment
84,168,5437,10475,内核线程,线程,0.5,fallback child_to_parent,containment
85,78,5476,5131,子进程,进程,0.5,fallback child_to_parent,containment
87,73,5568,4790,用户态,特权级,0.5,fallback child_to_parent,containment
90,143,5645,9194,网络设备,I/O设备,0.5,fallback child_to_parent,containment
90,162,5645,10238,网络设备,蓝牙,0.5,fallback child_to_parent,containment
91,132,5660,8287,锁,共享变量,0.5,fallback child_to_parent,containment
92,143,5697,9194,字符设备,I/O设备,0.5,fallback child_to_parent,containment
94,41,5783,2700,页表,页表手段,0.5,fallback child_to_parent,containment
94,55,5783,3813,页表,虚拟页,0.5,fallback child_to_parent,containment
94,63,5783,4175,页表,页表项标志位,0.5,fallback child_to_parent,containment
97,109,5934,7108,块设备,冗余磁盘阵列,0.5,fallback child_to_parent,containment
97,143,5934,9194,块设备,I/O设备,0.5,fallback child_to_parent,containment
99,43,5977,2730,进程调度,处理机调度,0.5,fallback child_to_parent,containment
100,21,6019,1441,临界资源,共享资源,0.5,fallback child_to_parent,containment
101,140,6024,9013,外部中断,中断,0.5,fallback child_to_parent,containment
103,104,6332,6356,缺页率置换算法,工作集置换算法,0.5,fallback child_to_parent,containment
105,49,6486,3324,目录,索引节点,0.5,fallback child_to_parent,containment
105,89,6486,5602,目录,文件指针,0.5,fallback child_to_parent,containment
106,43,6853,2730,处理器调度,处理机调度,0.5,fallback child_to_parent,containment
108,73,7106,4790,内核态,特权级,0.5,fallback child_to_parent,containment
108,87,7106,5568,内核态,用户态,0.5,fallback child_to_parent,containment
112,23,7197,1511,系统调用,命令解释程序,0.5,fallback child_to_parent,containment
112,61,7197,3956,系统调用,常规函数调用,0.5,fallback child_to_parent,containment
112,75,7197,4954,系统调用,库函数,0.5,fallback child_to_parent,containment
113,62,7264,3992,优先级反转,优先级重置,0.5,fallback child_to_parent,containment
114,140,7393,9013,中断描述符表,中断,0.5,fallback child_to_parent,containment
116,42,7451,2727,文件系统,文件缓存,0.5,fallback child_to_parent,containment
116,56,7451,3867,文件系统,文件分配机制,0.5,fallback child_to_parent,containment
116,57,7451,3869,文件系统,文件系统功能,0.5,fallback child_to_parent,containment
118,94,7511,5783,页目录表,页表,0.5,fallback child_to_parent,containment
124,58,7840,3879,就绪状态,阻塞状态,0.5,fallback child_to_parent,containment
125,17,7934,1199,时间片,分时操作系统,0.5,fallback child_to_parent,containment
126,64,7936,4243,死锁避免,银行家算法,0.5,fallback child_to_parent,containment
126,139,7936,8919,死锁避免,死锁,0.5,fallback child_to_parent,containment
129,30,8047,2044,进程通信机制,通信方式,0.5,fallback child_to_parent,containment
129,164,8047,10286,进程通信机制,进程通信原理,0.5,fallback child_to_parent,containment
131,116,8109,7451,网络文件系统,文件系统,0.5,fallback child_to_parent,containment
136,24,8732,1660,多道批处理系统,多道程序设计,0.5,fallback child_to_parent,containment
138,116,8842,7451,磁盘文件系统,文件系统,0.5,fallback child_to_parent,containment
140,122,9013,7690,中断,中断处理例程,0.5,fallback child_to_parent,containment
141,51,9089,3419,特权指令,管态,0.5,fallback child_to_parent,containment
142,125,9116,7934,进程调度策略,时间片,0.5,fallback child_to_parent,containment
143,33,9194,2188,I/O设备,设备管理子系统,0.5,fallback child_to_parent,containment
143,35,9194,2267,I/O设备,硬盘,0.5,fallback child_to_parent,containment
143,38,9194,2456,I/O设备,外部设备,0.5,fallback child_to_parent,containment
143,46,9194,3081,I/O设备,软盘,0.5,fallback child_to_parent,containment
143,127,9194,7971,I/O设备,设备,0.5,fallback child_to_parent,containment
143,144,9194,9206,I/O设备,IO数据传输,0.5,fallback child_to_parent,containment
143,161,9194,10235,I/O设备,I/O系统,0.5,fallback child_to_parent,containment
150,168,9451,10475,用户线程,线程,0.5,fallback child_to_parent,containment
152,11,9613,760,CPU保护模式,保护模式,0.5,fallback child_to_parent,containment
154,116,9698,7451,SFS,文件系统,0.5,fallback child_to_parent,containment
156,4,9742,358,管程,条件变量,0.5,fallback child_to_parent,containment
158,15,9810,930,FIFO置换算法,CLOCK置换算法,0.5,fallback child_to_parent,containment
159,31,10093,2079,队列,消息队列,0.5,fallback child_to_parent,containment
159,69,10093,4626,队列,数据结构,0.5,fallback child_to_parent,containment
165,95,10306,5809,代码段,CS段寄存器,0.5,fallback child_to_parent,containment
166,14,10395,929,操作系统,应用软件,0.5,fallback child_to_parent,containment
166,32,10395,2147,操作系统,别名,0.5,fallback child_to_parent,containment
166,40,10395,2670,操作系统,UNIX操作系统,0.5,fallback child_to_parent,containment
166,45,10395,3037,操作系统,软件故障,0.5,fallback child_to_parent,containment
166,149,10395,9413,操作系统,系统软件,0.5,fallback child_to_parent,containment
167,133,10442,8527,外碎片,伙伴系统,0.5,fallback child_to_parent,containment
169,153,10482,9625,资源管理,资源,0.5,fallback child_to_parent,containment
170,72,10505,4788,电梯调度算法,移臂调度算法,0.5,fallback child_to_parent,containment
171,151,10508,9542,物理页帧,物理页,0.5,fallback child_to_parent,containment
